fragmentos_fenol,fragmentos_ar_oh,NroAnilloAromatico,NroAnilloNoAromatico,TPSA,donadores_puente_hidrogeno,aceptores_puente_hidrogeno,MolLogP,enlaces_rotables,fraccion_carbono_sp3,conteo_atomos_pesados,refractividad_molar,alfa_hall_kier,carga_parcial_maxima,carga_parcial_minima,carga_parcial_abs_maxima,carga_parcial_abs_minima,kappa_1,kappa_3,chi_0v,chi_2v,chi_4v,coeficiente_qed,num_catecoles,num_resorcinoles,num_hidroquinonas,oh_vecino_a_metoxi
0,0,1,0,63.31999999999999,2,2,0.641,3,0.2222222222222222,12,45.75720000000001,-1.35,0.32031550163956013,-0.48007770020344237,0.48007770020344237,0.32031550163956013,8.743896713615024,2.3586512364733427,6.604020551477751,2.634453445168401,0.9553374414747879,0.6904627990029388,0,0,0,0
0,0,2,0,79.11,3,2,1.1222999999999996,3,0.18181818181818182,15,57.613900000000015,-1.81,0.32031692105916915,-0.4800776923593587,0.4800776923593587,0.32031692105916915,9.733912004652453,1.8453598902256407,8.10402055147775,3.5083522099184097,1.6247309891125132,0.7005840997557369,0,0,0,0
1,1,1,0,46.25,2,2,0.9743999999999999,0,0.0,8,32.51919999999999,-1.18,0.11712920006779612,-0.5078864810892437,0.5078864810892437,0.11712920006779612,4.966627565982405,0.9041418956093399,4.333964941448087,1.5949865467744433,0.5247980263701975,0.4875296866315732,0,0,0,0
1,1,1,0,46.25,2,2,0.9743999999999997,0,0.0,8,32.5192,-1.18,0.13795820172316436,-0.5057961642180998,0.5057961642180998,0.13795820172316436,4.966627565982405,0.7293748574130688,4.333964941448087,1.5588157251005406,0.48753022674520097,0.3849667558355937,0,0,0,0
1,1,1,0,46.25,2,2,0.9743999999999997,0,0.0,8,32.5192,-1.18,0.11522676312677685,-0.5079643210254035,0.5079643210254035,0.11522676312677685,4.966627565982405,0.9041418956093399,4.333964941448087,1.591532223080495,0.47432184495591717,0.3849667558355937,0,0,0,0
1,1,1,0,83.55000000000001,3,3,0.6725999999999999,1,0.0,11,39.478500000000004,-1.7099999999999997,0.33904819685114246,-0.507050155392377,0.507050155392377,0.33904819685114246,7.397642626480087,1.4029456622584688,5.612076558222283,2.0817390106800127,0.7249564780049849,0.4087158551274257,0,0,0,0
0,0,1,0,9.23,0,1,2.4237,3,0.2,11,46.895000000000024,-1.2400000000000002,0.1183781129118103,-0.4967682157477287,0.4967682157477287,0.1183781129118103,7.862459016393442,2.114270889670092,6.709213198785088,2.340873975918055,0.9282859064252973,0.5980208715479165,0,0,0,0
0,0,1,0,9.23,0,1,2.0036199999999997,1,0.25,9,37.73100000000001,-0.98,0.11837738457272944,-0.49676822175454044,0.49676822175454044,0.11837738457272944,6.144688279301746,1.4567376919048354,5.717649367222366,2.017176674817074,0.6743520127395849,0.5532379862472909,0,0,0,0
0,0,1,0,44.760000000000005,0,4,1.5248999999999997,4,0.3,14,51.48550000000003,-1.71,0.2035196541271348,-0.49271455457530966,0.49271455457530966,0.2035196541271348,10.371366965012205,1.637222957092061,8.365043969424331,2.5413977610633585,1.217212242786622,0.6847821797370717,0,0,0,0
0,0,1,0,35.53,0,3,2.349,4,0.25,15,58.204000000000036,-1.7699999999999998,0.3076565347994851,-0.4928321644580266,0.4928321644580266,0.3076565347994851,11.305585789871504,3.127418197891817,8.94835951052319,3.071654519455368,1.2448001036214789,0.43069398098746725,0,0,0,0
0,0,0,1,107.22000000000001,4,6,-1.4073999999999995,2,0.5,12,35.25619999999999,-1.27,0.3774972341840157,-0.5050473004212116,0.5050473004212116,0.3774972341840157,8.823196644920783,1.2138768453613862,5.967158282493358,2.3096782084769703,0.8227770345096005,0.3850054008235984,0,0,0,0
0,0,1,0,20.23,1,1,1.6115000000000002,3,0.3333333333333333,10,41.84880000000002,-0.8200000000000001,0.04336966675192703,-0.3963644531513796,0.3963644531513796,0.04336966675192703,7.288932461873639,2.1939048454146013,5.955285285007731,2.3127587479967415,0.9278583245784985,0.6689565380917977,0,0,0,0
3,3,1,0,60.69,3,3,0.8034000000000001,0,0.0,9,31.436399999999992,-1.38,0.16062122945333004,-0.5078183798364296,0.5078183798364296,0.16062122945333004,5.751233595800525,1.0464769923065758,4.573691594068752,1.673017279136521,0.5118260016936641,0.3557004899606234,1,1,1,0
3,3,1,0,60.69,3,3,0.8034000000000001,0,0.0,9,31.436399999999992,-1.38,0.19975016033970833,-0.5041613398087832,0.5041613398087832,0.19975016033970833,5.751233595800525,0.887203467943872,4.573691594068752,1.6448710429051412,0.5194891855665769,0.45046629553451434,2,1,0,0
3,3,1,0,129.49,4,4,-0.3230999999999997,1,0.0,13,42.00950000000001,-1.9499999999999997,0.3354623074615446,-0.5041437400350505,0.5041437400350505,0.3354623074615446,11.05,1.9989568066543388,6.351803210842947,2.168257120106708,0.7276642880601064,0.44837750328041776,2,1,0,0
