smiles,name,inchikey,standard_deviation_of_teac_molte/mol,homo,lumo,molecular_weight,bde,ip,pde,pa,ete,teac_molte_mol_limpio
C1=CC=C(C=C1)C[C@@H](C(=O)O)N,l-phenylalanine,COLNVLDHVKWLRT-QMMMGPOBSA-N,,-9.567,0.178,165.1914,62.28411,205.389,112.9314,271.639,46.68145,0.054
C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N,l-tryptophan,QIVBCDIJIAJPQS-VIFPVBQESA-N,,-8.614,-0.166,204.228,63.53407,177.0441,142.5263,274.1047,45.46573,0.067
C1=CC(=CC(=C1)O)N,3-aminophenol,CWLKGDAVCFYWJK-UHFFFAOYSA-N,0.056877592,-8.537,0.365,109.1274,83.7909,181.8734,157.9539,278.8695,60.95769,0.759834819
C1=CC=C(C(=C1)N)O,2-aminophenol,CDAWCLOXVUBKRW-UHFFFAOYSA-N,0.008643189,-8.267,0.177,109.1274,70.84501,172.3456,154.5357,276.9738,49.9075,2.355301452
C1=CC(=CC=C1N)O,p-aminophenol,PLIKAWJENQZMHA-UHFFFAOYSA-N,0.016592693,-8.213,0.031,109.1274,74.58366,172.280733039999,158.3392,281.013,49.60696,0.843240399
C1=CC(=C(C=C1N)C(=O)O)O,5-aminosalicylic acid,KBOPZPXVLCULAV-UHFFFAOYSA-N,,-8.52,-0.884,153.1372,80.15371,176.7825,159.407499999999,263.5419,72.6481530399999,0.05
COC1=CC=C(C=C1)CC=C,4-Allylanisole,ZFMSMUAANRJZFM-UHFFFAOYSA-N,,-8.8,0.191,148.2042,70.8414,186.5477,140.33,289.088,37.78968,0.049
CC1=CC=C(C=C1)OC,p-methylanisol,CHLICZRVGGXEOD-UHFFFAOYSA-N,,-8.696,0.247,122.1664,79.97295,186.1732,149.836,304.1123,31.897,0.04
COC1=C(C(=C(C=C1)C=O)OC)OC,"2,3,4-trimethoxybenzaldehyde",UCTUXUGXIFRVGX-UHFFFAOYSA-N,,-9.183,-0.386,196.2024,76.53057,181.4692,151.097639999999,303.9359,28.63096,0.064
CC(=O)OC1=C(C=C(C=C1)CC=C)OC,(2-methoxy-4-prop-2-enylphenyl)acetate,SCCDQYPEOIRVGX-UHFFFAOYSA-N,,-8.833,0.068,206.2408,71.30113,180.8392,146.4983,282.6166,44.72085304,0.068
C([C@@H]([C@@H]1C(=C(C(=O)O1)O)O)O)O,ascorbic acid,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,0.035775896,-9.633,-0.691,176.1256,66.5613999999999,191.49795304,131.099759999999,235.1558,87.4419,1.080060659
C1=CC=C(C=C1)CCCO,3-phenylpropan-1-ol,VAJVDSVGBWFCLW-UHFFFAOYSA-N,,-9.486,0.26,136.1932,74.5488,195.1173,135.4678,294.0366,36.5485,0.045
C1=CC(=C(C=C1O)O)O,"1,2,4-trihydroxybenzene",GGNQRNBDZQJCCN-UHFFFAOYSA-N,0.063797064,-8.736,-0.18,126.1116,73.38651,185.78933304,143.6335,273.4741,55.9487730399999,0.455202973
C1=CC(=C(C(=C1)O)O)O,pyrogallol,WQGWDDDVZFFDIG-UHFFFAOYSA-N,0.117846398,-8.787,-0.018,126.1116,75.19579,186.6437,144.5884,269.8517,61.38038304,2.849961317
C1=C(C=C(C(=C1O)O)O)C(=O)O.O,gallic acid,LNTHITQWFMADLM-UHFFFAOYSA-N,0.070536042,-9.393,-0.934,170.1214,76.5422999999999,198.7598,133.8188,261.519069999999,71.05954304,2.807367385
C1=C(C=C(C=C1O)O)O.O.O,phloroglucinol dihydrate,QCDYQQDYXPDABM-UHFFFAOYSA-N,0.030948382,-9.371,0.082,126.1116,85.83711,198.6929,143.180549999999,270.0611,71.8123430399999,0.764082361
C1C=C(C)C=C(C2C=C(C)C=CC=2O)C=1O,2-(2-hydroxy-5-methylphenyl)-4-methylphenol,JIONXXHMDHBECT-UHFFFAOYSA-N,0.018869973,-8.85,-0.27,214.2634,79.1978299999999,180.947,154.287179999999,264.828,70.40616,0.211614671
C1(OC)C=C(CCC)C=C(C2C=C(CCC)C=C(OC)C=2O)C=1O,2-(2-hydroxy-3-methoxy-5-propylphenyl)-6-methoxy-4-propylphenol,BTTCEFCKFDSNET-UHFFFAOYSA-N,0.133180148,-8.336,-0.095,330.423,75.0029099999999,171.3481,159.691119999999,277.9155,53.1236930399999,0.848318556
C1C=C(CCCC)C=C(C2C=C(CCCC)C=CC=2O)C=1O,4-butyl-2-(5-butyl-2-hydroxyphenyl)phenol,FDVJJYZMLOZRGE-UHFFFAOYSA-N,0.004112024,-8.566,-0.258,298.4242,74.92012,177.8081,153.148379999999,262.2197,68.73677,0.123867876
C1C=C(CCCCCC)C=C(C2C=C(CCCCCC)C=CC=2O)C=1O,4-hexyl-2-(5-hexyl-2-hydroxyphenyl)phenol,XJCMIABJJYSQDQ-UHFFFAOYSA-N,0.040597029,-8.954,-0.107,354.5314,72.46825,179.08434304,149.4202,262.2071,66.29746,0.135818115
C1=CC=C(C(=C1)C2=CC=CC=C2O)O,2-(2-hydroxyphenyl)phenol,IMHDGJOMLMDPJN-UHFFFAOYSA-N,,-8.885,-0.332,186.2098,81.12369,187.2991,149.8609,269.9449,67.21508304,0.061
C1C=C(C(C)(C)C)C=C(C2C=C(C(C)(C)C)C=CC=2O)C=1O,4-tert-butyl-2-(5-tert-butyl-2-hydroxyphenyl)phenol,RQGGYXNXKOLXCK-UHFFFAOYSA-N,,-8.854,-0.172,298.4242,78.78142,178.21220304,156.6055,263.6942,71.1235130399999,0.098
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,caffeine,RYYVLZVUVIJVGH-UHFFFAOYSA-N,,-8.976,-0.445,194.1926,77.23434,187.3729,145.8978,279.9945,53.27612,0.064
C1=CC=C(C(=C1)O)O,pyrocatechol,YCIMNLLNPGFGHC-UHFFFAOYSA-N,0.025996408,-8.814,-0.055,110.1122,76.26662,188.9554,143.347499999999,277.9216,54.38132,2.857546025
CC1=CC(=C(C=C1)O)O,4-methylcatechol,ZBCATMYQYDCTIZ-UHFFFAOYSA-N,0.0192915,-8.719,0.036,124.139,74.8814199999999,186.075,144.8427,273.4651,57.4526730399999,1.538505131
C1C=C(CCC)C=C(O)C=1O,"4-propylbenzene-1,2-diol",SCTPZNJTGOGSQD-UHFFFAOYSA-N,0.158046018,-8.725,0.045,152.1926,74.65805,185.54300304,145.151359999999,273.1355,57.55883,1.594834908
C1C=C(OC)C=C(O)C=1O,"4-methoxybenzene-1,2-diol",JXZABYGWFNGNLB-UHFFFAOYSA-N,0.138931865,-8.393,-0.076,140.1384,73.4376299999999,177.468233039999,152.0057,274.1431,55.3308830399999,1.028706188
